"Guid","CurrencyIsoCode","Product_Utility_Key__c","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
001d1b10-b6a0-4cac-bb08-504e87addd1e,AUD,01t1I000000JUVvQAOAUD,true,d54b1f13-d7b6-4904-beec-1d5f30796ca5,11425.891737529673
00437367-1c8e-4c38-b928-58b54711ff30,USD,01t4R00000O1XWDQA3USD,true,009bc946-cea0-4aaf-aa98-299be283cdcb,1917.4897452977432
00463ed3-c546-4bac-8672-e54c0ce3ba4c,AUD,01t4R00000O1XWdQANAUD,true,50831e62-b3ec-4bdd-a6d8-803872f93190,1759.485338906838748924
005bd268-1495-4949-bc7f-f7a1759d1bbc,GBP,01t4R00000O1XWfQANGBP,true,2caf72d3-d00c-484a-aa56-cfc18f48e6e4,2835.3951565688244
00d4577f-61a3-43fa-9295-3844c7cde57e,EUR,01t4R00000O1XWuQANEUR,true,44d268b2-2506-4b82-bf0e-48e2a5121d9c,59.9251387488895
00d6d21c-4bf7-4981-ab94-d77824000eb6,EUR,01t4R00000O1XWtQANEUR,true,c09be5db-82f2-482d-ba5f-98b6d754e3a8,59.9251387488895
0102fbb4-d310-4d90-a352-05a556afd5f7,GBP,01t4R00000O1XW7QANGBP,true,98063f39-08d6-4781-80b7-1edc15a977ce,1131.456349122198464
011d254b-b73e-404b-bb95-2e88d8374713,GBP,01t4R00000O1XYjQANGBP,true,e8fc0332-6303-4368-926e-86605ef037f0,96.17378967538686944
012daa17-e49b-4957-9685-0b89984b519f,GBP,01t1I0000039KDXQA2GBP,true,009bc946-cea0-4aaf-aa98-299be283cdcb,1835.1823142103365
014fc57e-ae2f-469f-a946-b75392fbed25,USD,01t4R00000O1XWeQANUSD,true,9adf05af-f9b1-4f4f-b58e-fc02b4acf4f2,7.0716021820137404
01587410-74d4-4c70-9ced-fd7059e78119,AUD,01t4R00000O1XWgQANAUD,true,636a5450-17ce-4d4b-a242-b1e65bdb7d86,200.05645874504003
0165a052-1d3b-4180-8e89-ad3083881fcc,EUR,01t4R00000O1XXbQANEUR,true,13839322-d7ad-4886-9183-5dbef28796e3,149.81284687222376
016ff9a8-82f3-4f11-bbf7-ccd1e530459a,GBP,01t4R00000O1XWAQA3GBP,true,aa6ae394-bc3c-433c-82c6-6e42a5cb220d,50.46327473590695
0173f622-9191-43ff-ab64-d9c096397848,AUD,01t1I000000JUVeQAOAUD,true,cd5526e1-e2a8-4d16-a60c-38b3742e7b3a,4.829969311038338
0244ceef-0a87-40a8-be4d-6cd901045ce3,EUR,01t41000003WOBZAA4EUR,true,"#N/A",53.173886140199118372
0261080a-e53f-4c22-9a37-2427a82d5d79,EUR,01t4R00000O1XXlQANEUR,true,66973606-e9b9-4f41-bacd-48e4878af41f,0.0
027657b2-d2d2-4f0c-a591-cfb7407deee6,GBP,01t4R00000O1XYQQA3GBP,true,8a4023eb-733b-4e5f-acdf-60b9469a768e,126.15818683976737
02a63d2f-a043-4f0e-9861-1877338e067c,EUR,01t4R00000O1XXIQA3EUR,true,09ff37cf-3a26-4207-b3da-87724a050222,67.1802207291305338
02bd75a5-14a7-4076-ab92-2da47c61cda3,USD,01t4R00000O1XXQQA3USD,true,97d6568f-4d8c-40a8-9ab7-af04a3ff05e0,35.358010910068702
02c7e501-0b90-429e-be4b-0a3670e8f544,EUR,01t4R00000O1XYcQANEUR,true,6f7850b8-33de-4402-8c55-165f1b447820,9405.230902078274732
03082b2a-0ca4-4da8-8f66-a6a191b1b57b,AUD,01t1I000000JUVVQA4AUD,true,ab178f45-6b11-4d15-9f73-fb14d656b8f8,48.29969311038338
032ba370-2640-4444-ac22-3fba6452ea04,GBP,01t4R00000O1XWaQANGBP,true,b504e1f8-9d58-411c-8999-1d4c70a638b7,1135.4236815579063
033531ed-a7f5-438c-a6ff-229c9a26d57d,GBP,"#N/A",true,"#N/A",7.374989489152242624
036c8b8b-5173-4b0f-8d5a-c55e4463e31d,AUD,01t1I000000JUVbQAOAUD,true,e212f912-d111-485a-8657-0ecf0b578c20,193.19877244153352
039a29fd-5445-4661-b24c-c73eb7de54dd,AUD,01t4R00000O1XWjQANAUD,true,6cf224a1-eae0-453f-9773-b11bb406b094,438.3969056717598223576
039b9a19-3548-4813-a231-6d417f8ffb25,AUD,01t1I0000039KDPQA2AUD,true,38db2d02-9149-4f7e-946f-c3e0ef1a756d,272.8181283557444
03e7b6c5-ecff-4d71-93af-646fa0993cf6,AUD,01t4R00000O1XYVQA3AUD,true,797ad713-7f35-4431-88cb-8abe402058e2,6137.595789754682
03f726d6-9ac5-4932-b35c-dc1095b63d6f,GBP,01t4R00000O1XXBQA3GBP,true,5ffa7078-a48b-4b8a-9849-6f1b767eeec3,282.864087280549616
0419c02c-b2be-4b80-b5da-70e75986922b,USD,01t4R00000O1XWWQA3USD,true,04f976eb-9a78-4af7-bb37-5a97f896f9f8,331.16524045438933
04217d6e-ae64-42d8-874d-ff1944610e89,GBP,01t4R00000O1XXGQA3GBP,true,728d3c88-3855-4c86-96c3-18f841cf6708,1414.32043640274808
043fcd78-41ea-4a3b-835c-49249408b052,GBP,01t4R00000O1XW9QANGBP,true,3623b53e-7881-4437-b335-1dde970550df,1009.2654947181389
